Size,Stage,1a,1b,1c,1d
1250,Stage 2,819.29,1015.82,545,991
1250,Stage 2,824.67,1148.38,550,1051
1250,Stage 2,828.73,911.12,500,990
1250,Stage 2,817.5,883.08,511,1053
1250,Stage 2,863.63,893,541,996
2500,Stage 2,1081.6,1710.55,666,1545
2500,Stage 2,1102.6,1698.07,672,1347
2500,Stage 2,1117.81,1733.36,645,1312
2500,Stage 2,1145.76,1692.81,630,2217
2500,Stage 2,1144.45,1723.29,656,1475
5000,Stage 2,2266.5,3376.45,722,11040
5000,Stage 2,2401.96,3314,719,10920
5000,Stage 2,2275.75,3300.71,716,1929
5000,Stage 2,2361.9,3384.26,714,11120
5000,Stage 2,2407.71,3406.24,744,10911
7500,Stage 2,3389.87,4951.13,825,16316
7500,Stage 2,3340.29,5181.59,756,16036
7500,Stage 2,3309.41,5013.33,826,16472
7500,Stage 2,3525.25,4937.27,797,16101
7500,Stage 2,3603.67,5058.46,824,16102
10000,Stage 2,4477.78,7104.61,819,21090
10000,Stage 2,4594.12,7096.48,823,21944
10000,Stage 2,4652.96,7238.87,822,21949
10000,Stage 2,4614.27,7142.76,807,21296
10000,Stage 2,4721.13,6945.32,821,21621